Id,Title,Artist,Genre,Release,Rating
84,Machines of Desire [LP/CD] [LP] - VINYL,Peter Baumann,Avant-Garde,05/27/2016,5
85,Mikeschair [CD],MIKESCHAIR,New Age,07/14/2009,5
86,Christmas Celebration [CD],Mannheim Steamroller,New Age,10/12/04,4.2
87,Tennessee Christmas: A Holiday Collection [CD],Point of Grace,Gospel & Christian,10/07/08,5
88,Winter Fantasy [CD],David Arkenstone,Holiday,10/21/2016,5
89,The Blue Guitar Sessions [CD],Jesse Cook,World,09/25/2012,5
90,And Winter Came [LP] - VINYL,Enya,New Age,10/20/2017,5
91,Hiding Place [CD],Selah,Gospel & Christian,05/25/2004,5
92,Slide on Over Here [CD],Steve Azar,Country,08/04/09,5
93,30/40 [CD],Mannheim Steamroller,Holiday,11/10/14,4.7
94,I Stand [CD],Idina Menzel,Vocal,01/29/2008,4.4
95,Chakra Suite [CD],Steven Halpern,New Age,10/16/2001,5
96,Beauty Will Rise [CD],Steven Curtis Chapman,Gospel & Christian,11/03/09,5
97,A Day Without Rain [LP] - VINYL,Enya,New Age,06/16/2017,5
98,Christmas Song [CD],Mannheim Steamroller,New Age,10/09/07,4.3
99,Christmas Symphony [CD],Mannheim Steamroller,Holiday,10/11/11,4.8
100,The Heavens Are Telling [CD],Karen Clark-Sheard,Gospel & Christian,11/04/03,5
101,A Candlelight Christmas [CD],Mannheim Steamroller,New Age,08/14/2012,5
102,Stand Out [CD],Tye Tribbett & G.A.,Gospel & Christian,05/06/08,5
103,Light Fantastic [CD],Steve Roach,New Age,09/21/1999,5
104,"Live at El Morro, Puerto Rico [CD]",Yanni,New Age,04/17/2012,4.5
105,Ultimate Love Songs: The Very Best of Jim Brickman [CD],Jim Brickman,New Age,01/27/2009,5
106,Holy Harmony [CD],Jonathan Goldman,New Age,11/02/04,5
107,White Winds [Bonus Tracks] [CD],Andreas Vollenweider,New Age,01/10/06,5
108,Brainwave Suite: Relaxation & Meditation [CD],Jeffrey D. Thompson,New Age,08/26/2008,5
109,"Le Roi Est Mort, Vive le Roi! [CD]",Enigma,New Age,11/26/1996,4
110,Gothic [CD],Nox Arcana,Electronic/Dance,10/03/15,4
111,A Day Without Rain [CD],Enya,New Age,11/21/2000,4.5
112,Live [All Access Edition] [CD/DVD] [CD & DVD],Mannheim Steamroller,Easy Listening,10/23/2015,5
113,Live at the Acropolis [Bonus Track] [CD],Yanni,New Age,12/11/07,5
114,Fresh Aire 7 [CD],Mannheim Steamroller,New Age,09/12/00,5
115,Forever Yours [CD],Smokie Norful,New Age,08/05/14,4.4
116,Wow Gospel 2012 [CD],Various Artists,New Age,01/24/2012,4.3
117,Grace [CD],David Tolk,New Age,01/01/07,5
118,Duck Rock [Bonus Track] [CD],Malcolm McLaren,Electronic/Dance,04/12/13,5
119,The Very Best of Sounds of Blackness & Ann Nesby [CD],Sounds of Blackness,Gospel & Christian,10/23/2001,4
120,Le Onde [LP] - VINYL,Ludovico Einaudi,New Age,06/02/15,5
121,Stone of Destiny [CD],Steve McDonald,New Age,11/26/2009,5
122,The Memory of Trees [CD],Enya,New Age,12/05/95,3.7
123,Live [Only @ Best Buy] [CD & Blu-Ray],Mannheim Steamroller,Easy Listening,10/16/2015,4.8
124,Elvis: Ultimate Gospel [Bonus Track] [CD],Elvis Presley,Gospel & Christian,03/06/07,4.8
125,Never Alone [CD & DVD],Jim Brickman,New Age,04/27/2010,5
126,Sensuous Chill [CD],Yanni,New Age,01/29/2016,4.5
127,Watermark [CD],Enya,New Age,11/12/91,5
128,Drum Spirit [CD],Steven Halpern,New Age,09/04/07,2.5
129,Crystal Bowl Healing 2012 [CD],Steven Halpern,New Age,02/12/13,5
130,Spring Carousel [CD],George Winston,Jazz,03/31/2017,5
131,Oxygène [CD],Jean Michel Jarre,Avant-Garde,05/13/2014,5
132,Music of the Spheres [CD],Mike Oldfield,New Age,03/18/2008,5
133,The  Sound of Victory [CD],Maurette Brown Clark,New Age,11/08/11,5
134,White Sun II [CD],White Sun,New Age,08/26/2016,5
135,Wow Gospel Christmas [15-Track] [CD],Various Artists,Gospel & Christian,09/24/2013,4
136,Travels [CD],Jake Shimabukuro,New Age,10/09/15,5
137,Heaven and Earth [CD],Acappella,Gospel & Christian,06/06/06,5
138,WOW Hits 2009 [CD],Various Artists,Gospel & Christian,10/07/08,5
139,Solo Journey [CD],Bradley Joseph,New Age,10/11/12,5
140,Pure Romance [CD],Jim Brickman,Easy Listening,01/06/15,5
141,Dolphin Therapy [CD],Patricia Tamana,New Age,05/19/2015,5
142,Worlds Apart [CD/DVD] [Deluxe Edition] [CD],Blue Stone,Electronic/Dance,08/10/08,5
143,Sidewaulk [CD],Capercaillie,World,01/05/93,5
144,Fall of a Rebel Angel [Deluxe Edition] [CD],Enigma,Electronic/Dance,11/11/16,5
145,Take My Hand: Gospel Favourites [CD],Elvis Presley,Gospel & Christian,03/28/2000,5
146,Celtic Chillout [CD],David Arkenstone,Electronic/Dance,04/20/2010,5
147,The Screen Behind the Mirror [CD],Enigma,New Age,01/18/2000,4
148,The Big Chill: More Songs from the Original Soundtrack [CD],Various Artists,Soundtracks & Shows,11/24/1998,5
149,Putumayo Presents: World Yoga [CD],Various Artists,New Age,10/16/2012,5
150,Thunderstorm [Nature/Rykodisc] [CD],Various Artists,New Age,06/13/1995,5
151,The Very Best of Acoustic Alchemy [CD],Acoustic Alchemy,New Age,08/27/2002,2
152,Songs from a Secret Garden [CD],Secret Garden,New Age,04/16/1996,5
153,The Fall of a Rebel Angel [CD],Enigma,Electronic/Dance,11/11/16,4.3
154,Relaxation: A Guided Approach to Mental and Physical Relaxation [CD],Kimberly Miles,New Age,07/14/2008,4
155,Beyond the Darkness [CD],Tarralyn Ramsey,Gospel & Christian,09/15/2009,4
156,"Party Tyme Karaoke: Contemporary Christian, Vol. 1 [CD]",Karaoke,Gospel & Christian,09/20/2005,5
157,Sounds of Nature: Rainstorms and Nature [CD],Various Artists,New Age,02/16/1999,1
158,New Life [CD & DVD],Paul Cardall,New Age,02/15/2011,5
159,Christmas Peace [CD],Elvis Presley,New Age,11/04/03,4
160,"Soothe, Vol. 1: Music to Quiet Your Mind & Soothe Your World [CD]",Jim Brickman,New Age,09/02/16,5
161,Beyond Dreams: Pathways to Deep Relaxation [CD],Hennie Bekker,New Age,07/22/2016,5
162,Voices: Live in Concert [DVD],,,10/26/2009,5
163,Live: Hymns & Worship [CD],Guy Penrod,Country,01/29/2016,5
164,MCMXC A.D. [CD],Enigma,New Age,06/29/1992,5
165,The Cross of Changes [CD],Enigma,New Age,02/08/94,5
166,Bad [CD],Michael Jackson,Pop,11/11/14,4.8
167,Californication [CD] [PA],Red Hot Chili Peppers,Pop,06/08/99,4.6
168,The Best of John Denver Live [CD],John Denver,Pop,12/06/11,4.6
169,reputation [CD],Taylor Swift,Pop,11/10/17,4.6
170,So Far [CD],"Crosby, Stills, Nash & Young",Pop,09/30/2008,4.7
171,Ten [CD],Pearl Jam,Pop,08/27/1991,4.7
172,Playlist: The Very Best of Luther Vandross [CD],Luther Vandross,R&B Soul,11/20/2015,4.9
173,From Under the Cork Tree [CD],Fall Out Boy,Pop,05/03/05,4.6
174,The Essential Michael Jackson [CD],Michael Jackson,R&B Soul,07/19/2005,4.8
175,Heaven Upside Down [CD],Marilyn Manson,Pop,10/06/17,4.5
176,Diamonds [CD],Elton John,Pop,11/10/17,4.9
177,Crystal Visions: The Very Best of Stevie Nicks [CD],Stevie Nicks,Pop,03/27/2007,4.8
178,Greatest Hits [CD],Seals & Crofts,Pop,10/25/1990,4.9
179,1 [20-Track]  [CD],The Beatles,Pop,11/06/15,4.9
180,Greatest Hits 1985 -1995 [CD],Heart,Pop,06/27/2000,4.7
181,Supersexy Swingin' Sounds [CD] [PA],White Zombie,Pop,08/13/1996,4
182,Playlist: The Very Best Of Bad Company [CD],Bad Company,Pop,02/19/2016,4.3
183, An  Introduction To [CD],Dionne Warwick,Pop,03/02/18,
184,Greatest Hits: Back to the Start [CD],Megadeth,Pop,06/28/2005,4.6
185,The Very Best of Fleetwood Mac [Rhino] [Enhanced CD],Fleetwood Mac,Pop,10/15/2002,4.8
186,Playlist: The Very Best of Foreigner   [CD],Foreigner,Pop,02/19/2016,4.3
187,Faceless [CD] [PA],Godsmack,Pop,04/08/03,4.7
188,One-X [CD],Three Days Grace,Pop,06/13/2006,4.8
189,Resurrection [CD],Operation: Mindcrime,Pop,09/23/2016,3.9
190,Greatest Hits [Special Products] [CD],Gary Puckett,Pop,10/01/95,4.5
191,Crooked Teeth [Deluxe] [2CD] [CD],Papa Roach,Pop,05/19/2017,4.7
192,Playlist: The Very Best of Electric Light Orchestra [CD],Electric Light Orchestra,Pop,11/20/2015,4.8
193,Hydrograd [CD],Stone Sour,Pop,06/30/2017,4.5
194,Ramones [40th Anniversary Edition] [CD],Ramones,Pop,09/09/16,
195,Dookie [CD],Green Day,Pop,02/01/94,4.8
196,Best of Foreigner 4 & More [CD],Foreigner,Pop,12/15/2014,4.3
197,Greatest Hits [Warner Bros.] [CD] [PA],Red Hot Chili Peppers,Pop,11/18/2003,4.8
198,She's So Unusual [CD],Cyndi Lauper,Pop,11/21/2000,5
199,Loud [CD],Rihanna,R&B Soul,11/16/2010,4.7
200,All the Right Reasons [CD],Nickelback,Pop,10/04/05,4.6
201,Slippery When Wet [CD],Bon Jovi,Pop,02/09/99,4.8
202,The Essential Journey [CD],Journey,Pop,10/16/2001,4.8
203,The Silent Vigil [CD],Memoriam,Pop,03/23/2018,
204,"Greatest Hits, Vol. 1 [CD]",Linda Ronstadt,Country,10/25/1990,4.7
205,The Essential Electric Light Orchestra [CD],Electric Light Orchestra,Pop,06/03/14,4.8
206,Dangerous Toys [CD],Dangerous Toys,Pop,02/01/08,5
207,Best of the Doobies [CD],The Doobie Brothers,R&B Soul,06/08/04,4.7
208,Radio Gold: 60s [CD],Various Artists,Pop,12/04/12,
209,Do You Hear What I Hear? [CD],Various Artists,Vocal,10/10/95,
210,Nightbringers [CD],The Black Dahlia Murder,Pop,10/06/17,4.9
211,Silver Side Up [CD],Nickelback,Pop,09/11/01,4.4
212,"Chronicle, Vol. 1 [LP] - VINYL",Creedence Clearwater Revival,Pop,07/01/91,4.9
213,Climbing! [US Bonus Track] [CD],Mountain,Pop,02/01/08,5
214,Just Dance [Remix] [CD],Lady Gaga,Pop,06/17/2008,4.2
215,Greatest Hits [CD],Bruce Springsteen,Pop,02/28/1995,4.7
216,Playlist: The Very Best of Daryl Hall & John Oates [CD],Daryl Hall & John Oates,R&B Soul,11/20/2015,4.7
217,Disturbed: Live at Red Rocks [CD] [PA],Disturbed,Pop,11/18/2016,4.8
218,Blood Sweat and Tears [Expanded] [CD],"Blood, Sweat & Tears",Pop,09/05/00,3.5
219,Undisputed Attitude [CD] [PA],Slayer,Pop,06/18/2002,4.9
220, Both Sides of the Sky [CD],Jimi Hendrix,Pop,03/09/18,4.1
221,Sounds of Summer: The Very Best of the Beach Boys [CD],The Beach Boys,Pop,06/10/03,4.8
222,20th Century Masters-The Millennium Collection: The Best of ABBA [CD],ABBA,Pop,09/26/2000,4.8
223,20th Century Masters: The Millennium Collection: Best of the Commodores [CD],Commodores,R&B Soul,11/23/1999,4.8
224,"Greatest Hits, Vol. 1 [CD] [PA]",Korn,Pop,10/05/04,4.7
225,If You Leave Me Now (And Other Hits) [2012] [CD],Chicago,Pop,03/13/2012,4.6
